delta_q_A,epsilon_r,R_A,alpha_kcal_per_e
0.5,4,3.4242424242424243,3.539985580311692
0.5,4,3.494949494949495,3.398198092777908
0.5,4,3.5656565656565657,3.2647616374017927
0.5,4,3.6363636363636362,3.1390330468750003
0.5,4,3.707070707070707,3.020429900548671
0.5,4,3.7777777777777777,2.9084237673010382
0.5,4,3.8484848484848486,2.8025343093186184
0.5,4,3.919191919191919,2.7023241236781272
0.5,4,3.9898989898989896,2.607394218074027
0.5,4,4.0606060606060606,2.517380033136556
0.5,4,4.1313131313131315,2.431947937153651
0.5,4,4.202020202020202,2.350792130148622
0.5,4,4.2727272727272725,2.273631903576279
0.5,4,4.343434343434343,2.20020920970795
0.5,4,4.414141414141414,2.1302865013431496
0.5,4,4.484848484848484,2.0636448080259315
0.5,4,4.555555555555555,2.000082019631172
0.5,4,4.626262626262626,1.9394113521624299
0.5,4,4.696969696969697,1.8814599739854316
0.5,4,4.767676767676767,1.8260677736058248
0.5,4,4.838383838383838,1.7730862525660194
0.5,4,4.909090909090909,1.7223775291495198
0.5,4,4.979797979797979,1.6738134403967928
0.5,4,5.05050505050505,1.6272747315000002
0.5,4,5.121212121212121,1.5826503229928923
0.5,4,5.191919191919192,1.5398366473186573
0.5,4,5.262626262626263,1.4987370473694097
0.5,4,5.333333333333333,1.45926123046875
0.5,4,5.404040404040404,1.421324772032492
0.5,4,5.474747474747474,1.3848486638083635
0.5,4,5.545454545454545,1.3497589021768344
0.5,4,5.616161616161616,1.3159861125038819
0.5,4,5.686868686868687,1.2834652059822884
0.5,4,5.757575757575758,1.2521350657894734
0.5,4,5.828282828282829,1.2219382597340571
0.5,4,5.898989898989899,1.1928207768665555
0.5,4,5.96969696969697,1.1647317857971087
0.5,4,6.04040404040404,1.1376234126995226
0.5,4,6.111111111111111,1.1114505371900827
0.5,4,6.181818181818182,1.0861706044550175
0.5,4,6.252525252525253,1.0617434521650166
0.5,4,6.3232323232323235,1.0381311508614968
0.5,4,6.393939393939394,1.015297856629456
0.5,4,6.4646464646464645,0.993209674987793
0.5,4,6.535353535353535,0.9718345350314974
0.5,4,6.6060606060606055,0.9511420729526135
0.5,4,6.6767676767676765,0.9311035241496748
0.5,4,6.747474747474747,0.9116916232094194
0.5,4,6.818181818181818,0.892880511111111
0.5,4,6.888888888888889,0.8746456490634754
0.5,4,6.959595959595959,0.8569637384379456
0.5,4,7.03030303030303,0.8398126463101963
0.5,4,7.101010101010101,0.8231713361654683
0.5,4,7.171717171717171,0.8070198033624282
0.5,4,7.242424242424242,0.791339014985732
0.5,4,7.313131313131313,0.776110853749504
0.5,4,7.383838383838384,0.7613180656428893
0.5,4,7.454545454545454,0.7469442110350982
0.5,4,7.525252525252525,0.732973618981127
0.5,4,7.595959595959596,0.719391344490932
0.5,4,7.666666666666666,0.7061831285444234
0.5,4,7.737373737373737,0.6933353606524688
0.5,4,7.808080808080808,0.6808350437803018
0.5,4,7.878787878787879,0.6686697614644971
0.5,4,7.949494949494949,0.6568276469681241
0.5,4,8.02020202020202,0.6452973543309709
0.5,4,8.09090909090909,0.6340680311829315
0.5,4,8.161616161616163,0.6231292931988897
0.5,4,8.232323232323232,0.6124712000828033
0.5,4,8.303030303030303,0.6020842329772498
0.5,4,8.373737373737374,0.5919592732025591
0.5,4,8.444444444444445,0.5820875822368421
0.5,4,8.515151515151516,0.572460782854827
0.5,4,8.585858585858585,0.5630708413494812
0.5,4,8.656565656565657,0.5539100507659482
0.5,4,8.727272727272727,0.5449710150824654
0.5,4,8.797979797979798,0.5362466342776095
0.5,4,8.868686868686869,0.5277300902275829
0.5,4,8.93939393939394,0.5194148333812123
0.5,4,9.01010101010101,0.511294570164039
0.5,4,9.08080808080808,0.5033632510662572
0.5,4,9.151515151515152,0.49561505937239586
0.5,4,9.222222222222221,0.48804440049354053
0.5,4,9.292929292929292,0.4806458918655482
0.5,4,9.363636363636363,0.47341435337920634
0.5,4,9.434343434343434,0.4663447983105521
0.5,4,9.505050505050505,0.4594324247217049
0.5,4,9.575757575757574,0.4526726073045186
0.5,4,9.646464646464647,0.446060889641183
0.5,4,9.717171717171716,0.4395929768575949
0.5,4,9.787878787878787,0.43326472864687676
0.5,4,9.858585858585858,0.42707215264188897
0.5,4,9.929292929292929,0.4210113981169195
0.5,4,10.0,0.41507875
0.5,8,3.0,2.3059930555555557
0.5,8,3.0707070707070705,2.2010186703330596
0.5,8,3.1414141414141414,2.1030525060483245
0.5,8,3.212121212121212,2.011484330500178
0.5,8,3.282828282828283,1.9257689130177513
0.5,8,3.3535353535353534,1.8454178893661999
0.5,8,3.4242424242424243,1.769992790155846
0.5,8,3.494949494949495,1.699099046388954
0.5,8,3.5656565656565657,1.6323808187008964
0.5,8,3.6363636363636362,1.5695165234375001
0.5,8,3.707070707070707,1.5102149502743356
0.5,8,3.7777777777777777,1.4542118836505191
0.5,8,3.8484848484848486,1.4012671546593092
0.5,8,3.919191919191919,1.3511620618390636
0.5,8,3.9898989898989896,1.3036971090370135
0.5,8,4.0606060606060606,1.258690016568278
0.5,8,4.1313131313131315,1.2159739685768256
0.5,8,4.202020202020202,1.175396065074311
0.5,8,4.2727272727272725,1.1368159517881395
0.5,8,4.343434343434343,1.100104604853975
0.5,8,4.414141414141414,1.0651432506715748
0.5,8,4.484848484848484,1.0318224040129658
0.5,8,4.555555555555555,1.000041009815586
0.5,8,4.626262626262626,0.9697056760812149
0.5,8,4.696969696969697,0.9407299869927158
0.5,8,4.767676767676767,0.9130338868029124
0.5,8,4.838383838383838,0.8865431262830097
0.5,8,4.909090909090909,0.8611887645747599
0.5,8,4.979797979797979,0.8369067201983964
0.5,8,5.05050505050505,0.8136373657500001
0.5,8,5.121212121212121,0.7913251614964462
0.5,8,5.191919191919192,0.7699183236593287
0.5,8,5.262626262626263,0.7493685236847049
0.5,8,5.333333333333333,0.729630615234375
0.5,8,5.404040404040404,0.710662386016246
0.5,8,5.474747474747474,0.6924243319041817
0.5,8,5.545454545454545,0.6748794510884172
0.5,8,5.616161616161616,0.6579930562519409
0.5,8,5.686868686868687,0.6417326029911442
0.5,8,5.757575757575758,0.6260675328947367
0.5,8,5.828282828282829,0.6109691298670286
0.5,8,5.898989898989899,0.5964103884332778
0.5,8,5.96969696969697,0.5823658928985543
0.5,8,6.04040404040404,0.5688117063497613
0.5,8,6.111111111111111,0.5557252685950413
0.5,8,6.181818181818182,0.5430853022275087
0.5,8,6.252525252525253,0.5308717260825083
0.5,8,6.3232323232323235,0.5190655754307484
0.5,8,6.393939393939394,0.507648928314728
0.5,8,6.4646464646464645,0.4966048374938965
0.5,8,6.535353535353535,0.4859172675157487
0.5,8,6.6060606060606055,0.4755710364763068
0.5,8,6.6767676767676765,0.4655517620748374
0.5,8,6.747474747474747,0.4558458116047097
0.5,8,6.818181818181818,0.4464402555555555
0.5,8,6.888888888888889,0.4373228245317377
0.5,8,6.959595959595959,0.4284818692189728
0.5,8,7.03030303030303,0.4199063231550981
0.5,8,7.101010101010101,0.41158566808273417
0.5,8,7.171717171717171,0.4035099016812141
0.5,8,7.242424242424242,0.395669507492866
0.5,8,7.313131313131313,0.388055426874752
0.5,8,7.383838383838384,0.38065903282144464
0.5,8,7.454545454545454,0.3734721055175491
0.5,8,7.525252525252525,0.3664868094905635
0.5,8,7.595959595959596,0.359695672245466
0.5,8,7.666666666666666,0.3530915642722117
0.5,8,7.737373737373737,0.3466676803262344
0.5,8,7.808080808080808,0.3404175218901509
0.5,8,7.878787878787879,0.33433488073224854
0.5,8,7.949494949494949,0.32841382348406206
0.5,8,8.02020202020202,0.32264867716548545
0.5,8,8.09090909090909,0.31703401559146577
0.5,8,8.161616161616163,0.31156464659944483
0.5,8,8.232323232323232,0.30623560004140166
0.5,8,8.303030303030303,0.3010421164886249
0.5,8,8.373737373737374,0.29597963660127957
0.5,8,8.444444444444445,0.29104379111842105
0.5,8,8.515151515151516,0.2862303914274135
0.5,8,8.585858585858585,0.2815354206747406
0.5,8,8.656565656565657,0.2769550253829741
0.5,8,8.727272727272727,0.2724855075412327
0.5,8,8.797979797979798,0.2681233171388048
0.5,8,8.868686868686869,0.26386504511379144
0.5,8,8.93939393939394,0.25970741669060615
0.5,8,9.01010101010101,0.2556472850820195
0.5,8,9.08080808080808,0.2516816255331286
0.5,8,9.151515151515152,0.24780752968619793
0.5,8,9.222222222222221,0.24402220024677027
0.5,8,9.292929292929292,0.2403229459327741
0.5,8,9.363636363636363,0.23670717668960317
0.5,8,9.434343434343434,0.23317239915527604
0.5,8,9.505050505050505,0.22971621236085246
0.5,8,9.575757575757574,0.2263363036522593
0.5,8,9.646464646464647,0.2230304448205915
0.5,8,9.717171717171716,0.21979648842879745
0.5,8,9.787878787878787,0.21663236432343838
0.5,8,9.858585858585858,0.21353607632094448
0.5,8,9.929292929292929,0.21050569905845976
0.5,8,10.0,0.207539375
0.5,12,3.0,1.5373287037037036
0.5,12,3.0707070707070705,1.4673457802220398
0.5,12,3.1414141414141414,1.4020350040322163
0.5,12,3.212121212121212,1.3409895536667855
0.5,12,3.282828282828283,1.2838459420118342
0.5,12,3.3535353535353534,1.2302785929108
0.5,12,3.4242424242424243,1.1799951934372306
0.5,12,3.494949494949495,1.132732697592636
0.5,12,3.5656565656565657,1.088253879133931
0.5,12,3.6363636363636362,1.0463443489583335
0.5,12,3.707070707070707,1.0068099668495571
0.5,12,3.7777777777777777,0.9694745891003461
0.5,12,3.8484848484848486,0.9341781031062061
0.5,12,3.919191919191919,0.9007747078927091
0.5,12,3.9898989898989896,0.8691314060246756
0.5,12,4.0606060606060606,0.8391266777121852
0.5,12,4.1313131313131315,0.8106493123845504
0.5,12,4.202020202020202,0.7835973767162072
0.5,12,4.2727272727272725,0.7578773011920931
0.5,12,4.343434343434343,0.73340306990265
0.5,12,4.414141414141414,0.7100955004477165
0.5,12,4.484848484848484,0.6878816026753105
0.5,12,4.555555555555555,0.666694006543724
0.5,12,4.626262626262626,0.64647045072081
0.5,12,4.696969696969697,0.6271533246618105
0.5,12,4.767676767676767,0.6086892578686083
0.5,12,4.838383838383838,0.5910287508553397
0.5,12,4.909090909090909,0.5741258430498399
0.5,12,4.979797979797979,0.5579378134655976
0.5,12,5.05050505050505,0.5424249105000001
0.5,12,5.121212121212121,0.5275501076642974
0.5,12,5.191919191919192,0.5132788824395524
0.5,12,5.262626262626263,0.4995790157898033
0.5,12,5.333333333333333,0.48642041015625
0.5,12,5.404040404040404,0.4737749240108306
0.5,12,5.474747474747474,0.4616162212694545
0.5,12,5.545454545454545,0.4499196340589448
0.5,12,5.616161616161616,0.43866203750129396
0.5,12,5.686868686868687,0.4278217353274295
0.5,12,5.757575757575758,0.4173783552631578
0.5,12,5.828282828282829,0.40731275324468574
0.5,12,5.898989898989899,0.3976069256221852
0.5,12,5.96969696969697,0.3882439285990363
0.5,12,6.04040404040404,0.3792078042331742
0.5,12,6.111111111111111,0.3704835123966942
0.5,12,6.181818181818182,0.36205686815167243
0.5,12,6.252525252525253,0.35391448405500553
0.5,12,6.3232323232323235,0.34604371695383224
0.5,12,6.393939393939394,0.3384326188764853
0.5,12,6.4646464646464645,0.33106989166259765
0.5,12,6.535353535353535,0.32394484501049914
0.5,12,6.6060606060606055,0.31704735765087116
0.5,12,6.6767676767676765,0.3103678413832249
0.5,12,6.747474747474747,0.3038972077364731
0.5,12,6.818181818181818,0.29762683703703696
0.5,12,6.888888888888889,0.2915485496878252
0.5,12,6.959595959595959,0.2856545794793152
0.5,12,7.03030303030303,0.27993754877006544
0.5,12,7.101010101010101,0.27439044538848945
0.5,12,7.171717171717171,0.2690066011208094
0.5,12,7.242424242424242,0.2637796716619107
0.5,12,7.313131313131313,0.2587036179165013
0.5,12,7.383838383838384,0.25377268854762974
0.5,12,7.454545454545454,0.24898140367836605
0.5,12,7.525252525252525,0.24432453966037565
0.5,12,7.595959595959596,0.23979711483031066
0.5,12,7.666666666666666,0.2353943761814745
0.5,12,7.737373737373737,0.23111178688415626
0.5,12,7.808080808080808,0.22694501459343394
0.5,12,7.878787878787879,0.22288992048816567
0.5,12,7.949494949494949,0.21894254898937468
0.5,12,8.02020202020202,0.21509911811032362
0.5,12,8.09090909090909,0.2113560103943105
0.5,12,8.161616161616163,0.2077097643996299
0.5,12,8.232323232323232,0.20415706669426778
0.5,12,8.303030303030303,0.20069474432574994
0.5,12,8.373737373737374,0.1973197577341864
0.5,12,8.444444444444445,0.19402919407894736
0.5,12,8.515151515151516,0.19082026095160898
0.5,12,8.585858585858585,0.18769028044982705
0.5,12,8.656565656565657,0.18463668358864943
0.5,12,8.727272727272727,0.18165700502748844
0.5,12,8.797979797979798,0.17874887809253653
0.5,12,8.868686868686869,0.17591003007586095
0.5,12,8.93939393939394,0.17313827779373744
0.5,12,9.01010101010101,0.170431523388013
0.5,12,9.08080808080808,0.16778775035541907
0.5,12,9.151515151515152,0.1652050197907986
0.5,12,9.222222222222221,0.16268146683118018
0.5,12,9.292929292929292,0.16021529728851608
0.5,12,9.363636363636363,0.15780478445973545
0.5,12,9.434343434343434,0.15544826610351736
0.5,12,9.505050505050505,0.15314414157390163
0.5,12,9.575757575757574,0.15089086910150618
0.5,12,9.646464646464647,0.14868696321372765
0.5,12,9.717171717171716,0.14653099228586497
0.5,12,9.787878787878787,0.14442157621562557
0.5,12,9.858585858585858,0.142357384213963
0.5,12,9.929292929292929,0.14033713270563983
0.5,12,10.0,0.13835958333333334
0.5,20,3.0,0.9223972222222222
0.5,20,3.0707070707070705,0.8804074681332238
0.5,20,3.1414141414141414,0.8412210024193298
0.5,20,3.212121212121212,0.8045937322000712
0.5,20,3.282828282828283,0.7703075652071005
0.5,20,3.3535353535353534,0.7381671557464801
0.5,20,3.4242424242424243,0.7079971160623384
0.5,20,3.494949494949495,0.6796396185555816
0.5,20,3.5656565656565657,0.6529523274803586
0.5,20,3.6363636363636362,0.627806609375
0.5,20,3.707070707070707,0.6040859801097341
0.5,20,3.7777777777777777,0.5816847534602075
0.5,20,3.8484848484848486,0.5605068618637236
0.5,20,3.919191919191919,0.5404648247356254
0.5,20,3.9898989898989896,0.5214788436148055
0.5,20,4.0606060606060606,0.5034760066273112
0.5,20,4.1313131313131315,0.4863895874307303
0.5,20,4.202020202020202,0.47015842602972435
0.5,20,4.2727272727272725,0.4547263807152558
0.5,20,4.343434343434343,0.4400418419415901
0.5,20,4.414141414141414,0.4260573002686299
0.5,20,4.484848484848484,0.4127289616051863
0.5,20,4.555555555555555,0.4000164039262344
0.5,20,4.626262626262626,0.387882270432486
0.5,20,4.696969696969697,0.37629199479708636
0.5,20,4.767676767676767,0.36521355472116496
0.5,20,4.838383838383838,0.35461725051320386
0.5,20,4.909090909090909,0.34447550582990394
0.5,20,4.979797979797979,0.33476268807935855
0.5,20,5.05050505050505,0.32545494630000005
0.5,20,5.121212121212121,0.31653006459857846
0.5,20,5.191919191919192,0.30796732946373145
0.5,20,5.262626262626263,0.29974740947388195
0.5,20,5.333333333333333,0.29185224609375
0.5,20,5.404040404040404,0.2842649544064984
0.5,20,5.474747474747474,0.2769697327616727
0.5,20,5.545454545454545,0.2699517804353669
0.5,20,5.616161616161616,0.2631972225007764
0.5,20,5.686868686868687,0.2566930411964577
0.5,20,5.757575757575758,0.25042701315789473
0.5,20,5.828282828282829,0.24438765194681142
0.5,20,5.898989898989899,0.23856415537331113
0.5,20,5.96969696969697,0.23294635715942175
0.5,20,6.04040404040404,0.22752468253990452
0.5,20,6.111111111111111,0.22229010743801655
0.5,20,6.181818181818182,0.21723412089100344
0.5,20,6.252525252525253,0.21234869043300333
0.5,20,6.3232323232323235,0.20762623017229936
0.5,20,6.393939393939394,0.20305957132589117
0.5,20,6.4646464646464645,0.1986419349975586
0.5,20,6.535353535353535,0.1943669070062995
0.5,20,6.6060606060606055,0.1902284145905227
0.5,20,6.6767676767676765,0.18622070482993494
0.5,20,6.747474747474747,0.1823383246418839
0.5,20,6.818181818181818,0.1785761022222222
0.5,20,6.888888888888889,0.17492912981269507
0.5,20,6.959595959595959,0.17139274768758914
0.5,20,7.03030303030303,0.16796252926203925
0.5,20,7.101010101010101,0.16463426723309366
0.5,20,7.171717171717171,0.16140396067248564
0.5,20,7.242424242424242,0.1582678029971464
0.5,20,7.313131313131313,0.15522217074990077
0.5,20,7.383838383838384,0.15226361312857786
0.5,20,7.454545454545454,0.14938884220701965
0.5,20,7.525252525252525,0.14659472379622537
0.5,20,7.595959595959596,0.1438782688981864
0.5,20,7.666666666666666,0.1412366257088847
0.5,20,7.737373737373737,0.13866707213049378
0.5,20,7.808080808080808,0.13616700875606036
0.5,20,7.878787878787879,0.1337339522928994
0.5,20,7.949494949494949,0.1313655293936248
0.5,20,8.02020202020202,0.12905947086619418
0.5,20,8.09090909090909,0.12681360623658633
0.5,20,8.161616161616163,0.12462585863977793
0.5,20,8.232323232323232,0.12249424001656066
0.5,20,8.303030303030303,0.12041684659544996
0.5,20,8.373737373737374,0.11839185464051183
0.5,20,8.444444444444445,0.1164175164473684
0.5,20,8.515151515151516,0.11449215657096541
0.5,20,8.585858585858585,0.11261416826989622
0.5,20,8.656565656565657,0.11078201015318964
0.5,20,8.727272727272727,0.10899420301649307
0.5,20,8.797979797979798,0.10724932685552191
0.5,20,8.868686868686869,0.10554601804551657
0.5,20,8.93939393939394,0.10388296667624246
0.5,20,9.01010101010101,0.1022589140328078
0.5,20,9.08080808080808,0.10067265021325143
0.5,20,9.151515151515152,0.09912301187447918
0.5,20,9.222222222222221,0.0976088800987081
0.5,20,9.292929292929292,0.09612917837310964
0.5,20,9.363636363636363,0.09468287067584127
0.5,20,9.434343434343434,0.09326895966211042
0.5,20,9.505050505050505,0.09188648494434098
0.5,20,9.575757575757574,0.09053452146090372
0.5,20,9.646464646464647,0.0892121779282366
0.5,20,9.717171717171716,0.08791859537151898
0.5,20,9.787878787878787,0.08665294572937536
0.5,20,9.858585858585858,0.0854144305283778
0.5,20,9.929292929292929,0.0842022796233839
0.5,20,10.0,0.08301575
